model,manufacturer,prodYear,price,engineVolume,mileage
Smart Fortwo,MERCEDES-BENZ,2014,13485,1,9000 km
GX 460,LEXUS,2012,4077,4.6,150909 km
Escape,FORD,2008,188,0.4,209843 km
I30,HYUNDAI,2008,6272,1.6,81928 km
Skyline,NISSAN,2003,5175,2.5,197000 km
Santa FE,HYUNDAI,2013,49165,2.2,128919 km
A6,AUDI,2014,18817,2,279722 km
Tiida,NISSAN,2010,7840,1.8,132540 km
H1,HYUNDAI,2014,35736,2.5,110483 km
H1,HYUNDAI,2008,16480,2.5,246122 km
FIT,HONDA,2003,30,1.3,0 km
H1,HYUNDAI,2011,16778,2.5,45984 km
Elantra,HYUNDAI,2011,19121,1.6,132742 km
RX 450,LEXUS,2013,941,3.5,361603 km
Sonata,HYUNDAI,2010,14715,2,154847 km
Aqua,TOYOTA,2013,18117,1.5,69000 km
FIT,HONDA,2016,862,1.5,31869 km
Fusion TITANIUM,FORD,2015,23521,2,77431 km
Captiva,CHEVROLET,2014,28589,2,83924 km
X-Trail,NISSAN,2005,11917,2,137453 km
Outlander,MITSUBISHI,2013,2979,2,103112 km
500 Sport,FIAT,2012,10349,1.4,128000 km
Golf TDI,VOLKSWAGEN,2014,21796,2.0 Turbo,51742 km
Focus,FORD,2014,12544,2,103318 km
Prius,TOYOTA,2013,20385,1.8,103000 km
Camry sport,TOYOTA,2014,21012,2.5,140000 km
C-MAX,FORD,2013,16935,2,111467 km
Elantra,HYUNDAI,2014,17876,1.8,68800 km
Highlander,TOYOTA,2010,24618,3.3,132603 km
Tucson,HYUNDAI,2012,22947,2,180491 km
Demio evropuli,MAZDA,2003,7213,1.4,185000 km
Land Cruiser,TOYOTA,2018,172486,4.7 Turbo,13000 km
Mazda 6 TOURING,MAZDA,2017,21012,2.5,75492 km
Vito,MERCEDES-BENZ,1998,8000,2.3,300000 km
Tacoma,TOYOTA,2014,6586,4,0 km
Prius,TOYOTA,2008,14426,1.5,361600 km
500 Abarth,FIAT,2013,18000,1.4 Turbo,142000 km
Tucson,HYUNDAI,2016,37229,2,149329 km
Elantra,HYUNDAI,2011,18240,1.6,161518 km
Camry,TOYOTA,2019,251,2.5,56834 km
Camry,TOYOTA,2014,11133,2.5,179381 km
Aqua,TOYOTA,2012,15994,1.5,193000 km
Tucson,HYUNDAI,2012,19456,2,192534 km
X3,BMW,2013,37633,2.0 Turbo,200000 km
Sprinter,MERCEDES-BENZ,2009,47042,3.0 Turbo,30000 km
Sonata,HYUNDAI,2012,17876,2.4,131000 km
CLS 550 550,MERCEDES-BENZ,2010,18503,5.5,150121 km
Astra,OPEL,1998,7840,1.6,230000 km
Sonata,HYUNDAI,2017,16935,2,227911 km
Highlander,TOYOTA,2010,14269,3.3,300366 km
Juke,NISSAN,2013,6272,1.6,312118 km
E 350,MERCEDES-BENZ,2011,627,3.5,230696 km
Equinox LT,CHEVROLET,2017,26657,1.5 Turbo,31006 km
Cruze,CHEVROLET,2013,14113,1.4 Turbo,210000 km
Santa FE,HYUNDAI,2019,8781,2.4,46264 km
Aqua,TOYOTA,2013,13184,1.5,125000 km
E 350,MERCEDES-BENZ,2009,5018,3.5,109139 km
Impala,CHEVROLET,2016,49058,2.5,73148 km
Passat,VOLKSWAGEN,2012,15681,2.5,2012 km
Juke,NISSAN,2013,470,1.6,108765 km
Taurus,FORD,1998,3200,3,160000 km
Sonata,HYUNDAI,2013,18817,2.0 Turbo,68000 km
GX 470,LEXUS,2015,61154,4.6,273493 km
Elantra,HYUNDAI,2018,37066,1.6,20388 km
Vectra,OPEL,2000,5959,1.8,210000 km
Aqua,TOYOTA,2014,15053,1.5,11800 km
Corolla,TOYOTA,2006,11917,1.4 Turbo,162000 km
Aqua,TOYOTA,2014,18422,1.5,35800 km
Cherokee,JEEP,2015,28852,2.4,168000 km
FIT,HONDA,2004,3000,1.3,11111 km
Spark,CHEVROLET,2014,10697,1,95100 km
Prius C,TOYOTA,2012,16935,1.5,107000 km
C 230,MERCEDES-BENZ,2002,7213,2.3,157000 km
Navigator,LINCOLN,1998,14740,5.4,116800 km
REXTON,SSANGYONG,2011,20171,2,148427 km
Tucson,HYUNDAI,2011,26149,2,126320 km
Cruze LT,CHEVROLET,2016,14113,1.4 Turbo,77000 km
Jetta,VOLKSWAGEN,2014,18189,1.8 Turbo,65600 km
Korando,SSANGYONG,2014,21031,2,128619 km
CX-9,MAZDA,2012,31,3.7,291840 km
Outlander SE,MITSUBISHI,2017,21169,2,41681 km
E 270 AVANGARDI,MERCEDES-BENZ,2002,16308,2.7 Turbo,248000 km
Highlander,TOYOTA,2008,29793,3.3,2005 km
Accent,HYUNDAI,2019,314,1.6,14587 km
Cruze,CHEVROLET,2012,13877,1.8,126000 km
GS 350,LEXUS,2008,25086,3.5,132500 km
Wingroad,NISSAN,2003,5959,2.5,0 km
Passat R-line,VOLKSWAGEN,2016,24462,1.8 Turbo,48935 km
GX 470,LEXUS,2011,392,4.6,202048 km
X5 e53,BMW,2004,14740,3,320000 km
Cruze,CHEVROLET,2018,941,1.4,39466 km
Camry XLE,TOYOTA,2015,40769,2.5,0 km
REXTON,SSANGYONG,2013,42692,2,105909 km
X5,BMW,2015,51746,3.0 Turbo,110400 km
RX 350,LEXUS,2011,1333,3.5,259232 km
Eunos 500,MAZDA,2010,1333,2.3,191110 km
Prius,TOYOTA,2010,14269,1.8,210000 km
Camry SE,TOYOTA,2018,42808,2.5,24382 km
H1,HYUNDAI,2016,44517,2.5,124708 km
Pacifica,CHRYSLER,2017,6586,3.6,31090 km
Doblo,FIAT,2001,8154,1.9 Turbo,266000 km
Actyon,SSANGYONG,2017,41811,1.6,53811 km
Insight,HONDA,2009,8467,1.3,155000 km
335,BMW,2007,5300,3.0 Turbo,1000 km
E 350,MERCEDES-BENZ,2012,470,3.5,98310 km
Prius,TOYOTA,2007,11917,1.5,318400 km
Corolla,TOYOTA,2016,21639,1.8,131000 km
Highlander,TOYOTA,2010,5645,3.3,264877 km
A5,AUDI,2012,392,2,171946 km
740,BMW,2011,26657,3.0 Turbo,154000 km
GX 460,LEXUS,2015,5018,4.6,188078 km
Camry,TOYOTA,2012,3136,2.5,159379 km
Allroad,AUDI,2013,38260,2.0 Turbo,117000 km
Sonata,HYUNDAI,2015,10663,2,278223 km
CX-9,MAZDA,2012,31,3.7,291840 km
Tucson,HYUNDAI,2011,26475,2,151186 km
REXTON,SSANGYONG,2009,19707,2.7,170347 km
A7,AUDI,2014,9565,3,191373 km
X-Terra,NISSAN,2012,23521,4,203200 km
Aqua,TOYOTA,2014,8000,1.5,122000 km
E 350 212,MERCEDES-BENZ,2010,21639,3.5,135000 km
Freelander,LAND ROVER,2004,6586,2,150000 km
Panamera S,PORSCHE,2012,76835,4.8,90000 km
FIT,HONDA,2002,5645,1.3,260000 km
Santa FE,HYUNDAI,2013,38894,2,128919 km
REXTON,SSANGYONG,2013,35043,2,92728 km
Elantra,HYUNDAI,2018,1568,2,61795 km
E 350,MERCEDES-BENZ,2014,220,3.5,95987 km
Fusion,FORD,2014,13485,1.5 Turbo,133260 km
Elantra,HYUNDAI,2011,17876,1.8,68771 km
Camry,TOYOTA,2012,23521,2.5,113000 km
Prius C,TOYOTA,2012,16935,1.5,91400 km
REXTON,SSANGYONG,2014,44752,2,37546 km
Colt,MITSUBISHI,2005,8781,1.5 Turbo,157000 km
RX 450,LEXUS,2016,34811,3.5,0 km
Jetta,VOLKSWAGEN,2003,5488,1.8 Turbo,228000 km
XJ,JAGUAR,1999,19200,4,1000 km
Forester SH,SUBARU,2011,7527,2.5,420800 km
Camry,TOYOTA,2018,18817,2.5,35058 km
CHR,TOYOTA,2018,2587,2,16213 km
CHR,TOYOTA,2019,627,2,24339 km
E 320,MERCEDES-BENZ,2002,7840,3.2,12000 km
Forester,SUBARU,2003,7213,2.0 Turbo,18000 km
Grand Vitara,SUZUKI,2005,13485,2.7,180000 km
H1,HYUNDAI,2016,41387,2.5,110189 km
Astra,OPEL,1994,3000,1.4,1111 km
Aveo,CHEVROLET,2013,11704,1.6,71000 km
Combo,OPEL,2008,10976,1.6,205000 km
Genesis,HYUNDAI,2011,18124,2,160000 km
Santa FE,HYUNDAI,2015,46919,2,117000 km
Sonata,HYUNDAI,2012,1568,2.4,246230 km
Fiesta,FORD,2013,14900,1.6,37000 km
Korando,SSANGYONG,2011,22545,2,99895 km
Outlander Sport,MITSUBISHI,2017,32929,2,21000 km
Captiva,CHEVROLET,2014,862,2.4,195069 km
Mustang,FORD,2012,26343,3.7,92000 km
GX 460,LEXUS,2015,941,4.6,188078 km
Serena Serea,NISSAN,2005,348,2,46702 km
Sonata,HYUNDAI,2015,15053,2,272769 km
Malibu,CHEVROLET,2011,314,2.4,205307 km
Vectra B,OPEL,2001,5645,2,441000 km
Caddy,VOLKSWAGEN,1997,4077,1.9,194000 km
Vitz,TOYOTA,2007,10036,1,11111 km
E 55,MERCEDES-BENZ,2012,180,5.5,104000 km
X5,BMW,2014,16621,3,110715 km
Micra,NISSAN,1997,7840,1,2888 km
Sonata,HYUNDAI,2015,10976,2,620755 km
Volt,CHEVROLET,2014,314,1.4,131893 km
Cruze,CHEVROLET,2012,16041,1.8,80497 km
MPV,MAZDA,2004,7840,2.3,150783 km
Sonata,HYUNDAI,2012,862,2.4,289920 km
Aqua,TOYOTA,2013,35,1.3,240000 km
Vitz,TOYOTA,2011,8000,1.3,203000 km
Zafira,OPEL,2006,10300,1.6,350000 km
Cooper S Cabrio,MINI,2016,314,2,59408 km
S 63 AMG,MERCEDES-BENZ,2015,172486,5.5 Turbo,73600 km
Civic,HONDA,2015,4861,1.5,49272 km
Sportage,KIA,2011,17405,2,47232 km
E 230,MERCEDES-BENZ,1997,3763,2.3,105000 km
Accent,HYUNDAI,2016,16891,1.6,43840 km
H1,HYUNDAI,2014,32910,2.5,140000 km
Optima,KIA,2012,20071,2.4,100000 km
Transit S,FORD,2004,21169,2,239000 km
Legacy,SUBARU,2002,6899,2,188645 km
Sonata,HYUNDAI,2016,25716,2.4,51000 km
C 63 AMG,MERCEDES-BENZ,2011,109764,6.3 Turbo,73000 km
IS 350,LEXUS,2011,8154,3.5,259066 km
Civic,HONDA,2016,51272,2,42378 km
Cruze,CHEVROLET,2015,16621,1.4 Turbo,144000 km
Elantra,HYUNDAI,2009,13771,1.6,143091 km
C-MAX HYBRID,FORD,2013,21639,2,125000 km
Fusion,FORD,2013,17562,2,218400 km
RX 450,LEXUS,2013,1019,3.5,138038 km
ES 300,LEXUS,2015,10192,2.5,98032 km
E 350,MERCEDES-BENZ,2011,15994,3.5,170429 km
435 CUPE,BMW,2014,64290,3.0 Turbo,56000 km
Juke,NISSAN,2013,2901,1.6,166013 km
Traverse,CHEVROLET,2011,549,3.6,248954 km
Cruze,CHEVROLET,2015,17562,1.4,100000 km
Passat,VOLKSWAGEN,2012,8467,2.5,188485 km
Prius,TOYOTA,2006,10036,1.7,27500 km
E 350,MERCEDES-BENZ,2005,14113,3.5 Turbo,26600 km
ML 500,MERCEDES-BENZ,2006,24462,5,216000 km
HS 250h,LEXUS,2010,11760,2.4,156000 km
G 55 AMG,MERCEDES-BENZ,2003,87811,5.5 Turbo,137500 km
GX 470,LEXUS,2013,54568,4.6,202651 km
Captiva,CHEVROLET,2011,18189,2.2,70479 km
Captiva,CHEVROLET,2015,27174,2,101537 km
Passat,VOLKSWAGEN,2012,17240,2.5,109000 km
Orlando,CHEVROLET,2012,22649,2,129760 km
Prius,TOYOTA,2010,14113,1.8,312000 km
Cruze,CHEVROLET,2017,22894,1.4 Turbo,46800 km
ML 270,MERCEDES-BENZ,2000,11290,2.7 Turbo,335000 km
Cruze,CHEVROLET,2018,4704,1.4,41822 km
Captiva,CHEVROLET,2016,38445,2,54472 km
LX 470,LEXUS,1998,19757,4.7,404800 km
2107,VAZ,1999,2800,1.6,10000 km
Focus,FORD,2014,13799,2,8640 km
CLK 200 Kompressor,MERCEDES-BENZ,2000,8938,2,189622 km
Camry,TOYOTA,2015,470,2.5,210450 km
Focus,FORD,2012,15053,2,200000 km
C 230,MERCEDES-BENZ,2007,18817,2.5,255000 km
Fusion,FORD,2013,157,2,339920 km
Elysion,HONDA,2010,12000,2.4,171000 km
Sonata,HYUNDAI,2015,9722,2,705856 km
Aqua,TOYOTA,2014,8900,1.5,138000 km
Grand Cherokee,JEEP,1994,9408,4,335000 km
E 550,MERCEDES-BENZ,1999,9408,3.2,150000 km
Camaro,CHEVROLET,2016,83251,6.2,81142 km
Camry,TOYOTA,2013,1803,2.5,136861 km
E 350,MERCEDES-BENZ,2014,29793,3.5,219030 km
RAV 4,TOYOTA,2015,40769,2.5,60800 km
Prius,TOYOTA,2015,22266,1.8,159000 km
Cruze,CHEVROLET,2012,9408,2,52312 km
Elantra,HYUNDAI,2017,23678,1.6,110000 km
Sonata,HYUNDAI,2016,20698,2,26729 km
Caddy,VOLKSWAGEN,1999,5331,1.9,260000 km
Lacetti,CHEVROLET,2009,11704,1.6,119806 km
Captiva,CHEVROLET,2013,1960,2.4,132429 km
C 300,MERCEDES-BENZ,2007,20385,3,1000 km
Transit 135,FORD,2003,14113,2.4 Turbo,193000 km
Sonata,HYUNDAI,2011,3607,2,169765 km
Aqua,TOYOTA,2014,24239,1.5,14486 km
Elantra,HYUNDAI,2016,20491,1.6,50051 km
Aqua,TOYOTA,2013,28532,1.5,59000 km
CT 200h,LEXUS,2012,1490,1.8,174106 km
Aqua,TOYOTA,2012,22197,1.5,64400 km
Cruze,CHEVROLET,2014,10976,1.4 Turbo,126000 km
Tucson,HYUNDAI,2015,37580,2,60000 km
Prius,TOYOTA,2011,5018,1.8,489584 km
Note,NISSAN,2012,10663,1.2,181000 km
Tucson,HYUNDAI,2016,50184,2,121764 km
Samurai,SUZUKI,1984,10976,1.6,100000 km
Captiva,CHEVROLET,2014,19613,2.2,195691 km
M5 Japan,BMW,2006,45473,5,97000 km
Golf TDI,VOLKSWAGEN,2012,15367,2.0 Turbo,130000 km
Elantra,HYUNDAI,2017,25729,1.6,56378 km
335,BMW,2011,6586,3,143950 km
Outlander SPORT,MITSUBISHI,2014,18660,2,83516 km
Tucson,HYUNDAI,2019,57842,1.6,32724 km
535,BMW,2014,3450,3,0 km
FIT,HONDA,2017,17694,1.3,69968 km
Transit,FORD,2007,15053,2.2 Turbo,0 km
CLK 320,MERCEDES-BENZ,1999,11290,3.2,237000 km
Jetta,VOLKSWAGEN,2014,627,1.8,213698 km
Forester,SUBARU,2012,4861,2.5,260133 km
Caddy,VOLKSWAGEN,2009,10017,2.0 Turbo,238000 km
NX 200,LEXUS,2017,31988,2,54120 km
Tucson,HYUNDAI,2016,34406,1.7,101248 km
Land Rover Sport,LAND ROVER,2015,141124,3.0 Turbo,90000 km
750,BMW,2013,392,4.4,87243 km
Caldina,TOYOTA,2003,8154,2,112000 km
Tucson,HYUNDAI,2010,29793,2.4,180000 km
Prius,TOYOTA,2010,14113,1.8,196121 km
Tucson,HYUNDAI,2016,29633,2,27243 km
GX 470,LEXUS,2011,392,4.6,202048 km
Aqua s,TOYOTA,2014,11447,1.5,133000 km
Elantra LIMITED,HYUNDAI,2013,20071,1.8,123200 km
X5,BMW,2014,784,4.4,247877 km
Insight,HONDA,2009,8624,1.3,180000 km
RX 450,LEXUS,2010,13328,3.5,186005 km
Camry,TOYOTA,2014,17562,2.5,88000 km
H1,HYUNDAI,2014,36068,2.5,85933 km
607,PEUGEOT,2001,7840,2.2 Turbo,325000 km
H1,HYUNDAI,2017,47217,2.5,39071 km
H1,HYUNDAI,2016,37000,2.5,90000 km
E 300,MERCEDES-BENZ,2017,16621,2,70880 km
Lacetti,DAEWOO,2010,6523,1.6,36125 km
Cruze,CHEVROLET,2011,12231,1.8,130000 km
Elantra,HYUNDAI,2014,27946,1.6,102152 km
Elantra,HYUNDAI,2011,23239,1.6,137213 km
RX 350 F sport,LEXUS,2016,119172,3.5,52000 km
Astra H,OPEL,2008,12544,1.8,168000 km
Fiesta,FORD,2016,17245,1.6,73600 km
Golf,VOLKSWAGEN,1991,2352,1.8,234000 km
Explorer,FORD,2016,79902,2.3,125072 km
Passat,VOLKSWAGEN,2016,26343,1.8 Turbo,87000 km
NEW Beetle,VOLKSWAGEN,2003,549,2,0 km
C 240,MERCEDES-BENZ,2000,8624,2.6,196600 km
Megane GT Line,RENAULT,2012,21639,1.5 Turbo,170000 km
Elantra,HYUNDAI,2014,70,1.8,0 km
X5,BMW,2010,39201,3.5 Turbo,267632 km
Prius,TOYOTA,2010,17249,1.8,179200 km
C 250,MERCEDES-BENZ,2013,25089,1.8 Turbo,95000 km
A7,AUDI,2014,9565,3,191373 km
Lacetti,CHEVROLET,2010,12281,1.8,128257 km
Sonata,HYUNDAI,2014,9938,2,377942 km
X5,BMW,2010,470,3,265210 km
Optima,KIA,2013,17540,2,41412 km
Camry,TOYOTA,2018,470,2.5,44845 km
Camry,TOYOTA,2016,1098,2.5,114389 km
Tucson,HYUNDAI,2016,37580,2,99000 km
Highlander,TOYOTA,2010,14269,3.3,300366 km
X-Trail,NISSAN,2016,18000,2,22000 km
Cruze,CHEVROLET,2014,1725,1.4,184835 km
Octavia,SKODA,2011,23521,1.8 Turbo,180000 km
ML 350,MERCEDES-BENZ,2003,13485,3.7,235200 km
CLS 350 AMG,MERCEDES-BENZ,2008,25089,3.5,63000 km
Santa FE,HYUNDAI,2013,29777,2,182217 km
Highlander,TOYOTA,2011,22580,3.5,368064 km
Vitz,TOYOTA,2004,7840,1.3,170342 km
Orlando,CHEVROLET,2017,36166,1.6,71400 km
Fusion,FORD,2015,34497,2,78000 km
Sonata,HYUNDAI,2012,17186,2,157367 km
Elantra,HYUNDAI,2013,17158,1.6,117500 km
Malibu,CHEVROLET,2019,5018,1.5,8710 km
Q5 S-line,AUDI,2013,42337,3.0 Turbo,139259 km
Santa FE,HYUNDAI,2014,49858,2.4,87000 km
Transit,FORD,2006,19757,2.4 Turbo,286000 km
RAV 4,TOYOTA,2008,16621,2.4,113600 km
Elantra,HYUNDAI,2018,30038,1.6,60000 km
Camry,TOYOTA,2018,16308,2.5,45371 km
X1,BMW,2013,29793,2.0 Turbo,68000 km
Malibu,CHEVROLET,2013,862,2,114107 km
CLK 270,MERCEDES-BENZ,2002,12858,2.7 Turbo,260000 km
Transit,FORD,2007,16618,2.2 Turbo,158000 km
E 350,MERCEDES-BENZ,2014,392,3.5,29675 km
Prius,TOYOTA,2009,18817,1.8,288034 km
H1,HYUNDAI,2014,34406,2.5,119884 km
Sonata,HYUNDAI,2017,45044,2,95948 km
GX 470,LEXUS,2013,1490,4.6,154115 km
Vito,MERCEDES-BENZ,1998,8938,2.3 Turbo,222000 km
E 350,MERCEDES-BENZ,2013,627,3.5,0 km
RDX,ACURA,2015,282,3.5,0 km
Forester,SUBARU,2005,8467,2,145576 km
Sirion,DAIHATSU,2002,3136,1.2,25000 km
Sonata,HYUNDAI,2015,8467,2,616691 km
E 350,MERCEDES-BENZ,2009,5018,3.5,109139 km
CT 200h,LEXUS,2012,251,1.8,149981 km
Land Cruiser Prado,TOYOTA,2014,84675,3.0 Turbo,137000 km
Fiesta,FORD,2014,10663,1.6,84800 km
Prius,TOYOTA,2008,20,1.5,135000 km
Transit,FORD,1995,11917,2.5 Turbo,0 km
Elantra GT,HYUNDAI,2014,14740,2,51950 km
C 230,MERCEDES-BENZ,1996,6899,2.3,210456 km
Accent,HYUNDAI,2014,15624,1.6,126265 km
Colt,MITSUBISHI,2010,10349,1.3,89617 km
Jetta,VOLKSWAGEN,2014,1568,2,82392 km
Elantra,HYUNDAI,2012,14740,1.8,129000 km
Cruze,CHEVROLET,2019,549,1.4,14074 km
Sonata,HYUNDAI,2015,10976,2,620755 km
E 320,MERCEDES-BENZ,1998,6586,3.2,0 km
Camry,TOYOTA,2015,46101,2.5,89600 km
E 300,MERCEDES-BENZ,2017,22580,2,50930 km
Land Cruiser,TOYOTA,2013,111332,4.7,180000 km
E 270,MERCEDES-BENZ,2002,14113,2.7 Turbo,5000 km
Orlando,CHEVROLET,2012,16621,2,198000 km
Cruze RS,CHEVROLET,2016,19130,1.4 Turbo,32000 km
C 250,MERCEDES-BENZ,2013,2430,0,121600 km
Cruze,CHEVROLET,2016,21639,1.4 Turbo,99200 km
Fusion,FORD,2009,17249,2.5,245000 km
Prius,TOYOTA,2013,19757,1.8,137568 km
2121 (Niva),VAZ,1983,1000,1.3,0 km
Grand Cherokee,JEEP,2001,11604,4.7,297600 km
20,GAZ,1953,51746,2,0 km
Camry,TOYOTA,2013,32302,2.5,73600 km
Santa FE,HYUNDAI,2016,40390,2,134413 km
Prius,TOYOTA,2010,9879,1.8,146000 km
MKZ hybrid,LINCOLN,2015,15681,2,137666 km
Elantra,HYUNDAI,2014,16621,1.8,105600 km
Elantra SE,HYUNDAI,2017,17719,2,53895 km
Mazda 6,MAZDA,2002,7527,2.3,150000 km
Prius,TOYOTA,2010,18245,1.8,172707 km
Elantra,HYUNDAI,2012,14113,1.8,135456 km
Actyon,SSANGYONG,2011,16800,2,173987 km
740,BMW,2006,18817,4,180000 km
130,BMW,2009,13485,2.8,163000 km
Optima,KIA,2016,26343,2,27390 km
Cruze,CHEVROLET,2010,6899,1.8,150001 km
Genesis,HYUNDAI,2010,16091,2,100000 km
Santa FE,HYUNDAI,2016,52263,2,108025 km
Juke,NISSAN,2013,23834,1.6 Turbo,147200 km
750,BMW,2005,15367,5,177000 km
GTI,VOLKSWAGEN,2015,2666,0.2,104618 km
Elantra,HYUNDAI,2016,27598,2,41000 km
Sonata,HYUNDAI,2015,49751,2,24148 km
Legacy,SUBARU,2006,16000,2.0 Turbo,1111 km
Jetta,VOLKSWAGEN,2012,9408,2,119619 km
Passat,VOLKSWAGEN,2012,22000,1.8 Turbo,250000 km
Sonata,HYUNDAI,2010,20297,2,155590 km
Santa FE,HYUNDAI,2016,58579,2,35000 km
X5,BMW,2004,17562,4.4,141454 km
Vectra B,OPEL,2000,3900,1.8,156000 km
X-Trail X-trail,NISSAN,2002,8467,2,254321 km
CT 200h,LEXUS,2013,23521,1.8,125000 km
X5,BMW,2012,157,3,296395 km
Compass,JEEP,2009,17249,2.4,54575 km
Focus,FORD,2013,26971,2.0 Turbo,53000 km
E 350,MERCEDES-BENZ,2011,14583,3.5,230696 km
Hilux Surf,TOYOTA,1998,10976,3.4,262000 km
CHR,TOYOTA,2019,6586,2,5219 km
H1,HYUNDAI,2010,12701,2.5,56765 km
RAV 4,TOYOTA,2018,58018,2.5,1358 km
Elantra,HYUNDAI,2011,18531,1.6,165845 km
200,MERCEDES-BENZ,1998,10976,1.8,0 km
Camry,TOYOTA,2012,3607,2.5,156518 km
VehiCross,ISUZU,1999,9408,3.2,170000 km
Prius,TOYOTA,2007,10036,1.5,240000 km
H1,HYUNDAI,2009,21953,2.5 Turbo,150000 km
Yaris,TOYOTA,2008,11604,1.5,0 km
Elantra,HYUNDAI,2016,28222,2,71200 km
CC,VOLKSWAGEN,2010,17249,2.0 Turbo,168000 km
Camry,TOYOTA,2018,61154,2.5,32000 km
Fusion,FORD,2014,4861,2,124493 km
Santa FE,HYUNDAI,2016,41720,2,113120 km
Prius C Navigation,TOYOTA,2013,21326,1.5,87000 km
Jetta,VOLKSWAGEN,2016,13172,1.4,45312 km
Genesis,HYUNDAI,2010,15292,2,146691 km
Ist,TOYOTA,2003,25,1.5,146000 km
Insight,HONDA,2009,10976,1.3,200000 km
REXTON,SSANGYONG,2014,48873,2,52576 km
RX 400,LEXUS,2008,8154,3.3,224629 km
Elantra,HYUNDAI,2013,11917,1.8,80000 km
Prius,TOYOTA,2010,282,1.8,423418 km
Prius C,TOYOTA,2015,21326,1.5,79500 km
E 350 w211,MERCEDES-BENZ,2007,22580,3.5 Turbo,151000 km
E 350,MERCEDES-BENZ,2012,4861,3.5,128202 km
Optima,KIA,2013,17562,2.4,120000 km
Santa FE,HYUNDAI,2012,26594,2,138525 km
Passat,VOLKSWAGEN,2014,15994,1.8 Turbo,65282 km
RX 350,LEXUS,2011,27911,3.5,900000 km
X5,BMW,2016,706,2,73856 km
Sorento,KIA,2016,39515,2,21683 km
Insight,HONDA,2010,220,1.3,184250 km
Elantra,HYUNDAI,2017,17562,2,44000 km
Mazda 6,MAZDA,2014,14113,2.2 Turbo,136000 km
Jetta,VOLKSWAGEN,2014,17249,1.8,107200 km
Clio,RENAULT,2010,14113,1.5 Turbo,190000 km
Forester,SUBARU,2012,314,2.5,204579 km
Aqua,TOYOTA,2013,19306,1.5,48300 km
Volt,CHEVROLET,2017,188,1.5,125358 km
C 240,MERCEDES-BENZ,2001,10663,2.4,240000 km
HS 250h,LEXUS,2011,90,2.5,85000 km
Vento,VOLKSWAGEN,1995,4391,1.8,107000 km
Camry XLE,TOYOTA,2012,25089,2.5,95000 km
Tucson,HYUNDAI,2011,22649,2,191264 km
Sonata,HYUNDAI,2014,10515,2,55210 km
Elantra,HYUNDAI,2012,20266,1.6,98252 km
Compass,JEEP,2013,31248,2.4,59897 km
GLE 350,MERCEDES-BENZ,2016,6272,3,59099 km
FIT,HONDA,2011,8781,1.3,111000 km
Juke,NISSAN,2014,24148,1.6 Turbo,56000 km
H1,HYUNDAI,2008,10672,2.5,66846 km
RX 450,LEXUS,2011,188,3.5,101816 km
Serena,NISSAN,2002,4000,2,281000 km
Fusion,FORD,2010,314,2.5,168960 km
Aveo,CHEVROLET,2015,24273,1.4,58052 km
Camry,TOYOTA,2015,26657,2.5,118000 km
Corsa,OPEL,2003,4704,1.2,22863 km
ML 350,MERCEDES-BENZ,2011,39829,2.9 Turbo,255000 km
March,NISSAN,2015,23935,1.2,23603 km
Vaneo,MERCEDES-BENZ,2004,8467,1.7 Turbo,0 km
Prius,TOYOTA,2008,14113,1.5,120000 km
Elantra,HYUNDAI,2011,18531,1.6,89323 km
Camry,TOYOTA,2010,19757,2.4,165000 km
Sonata,HYUNDAI,2016,15681,2,257102 km
Prius,TOYOTA,2010,20385,1.8,174309 km
Prius,TOYOTA,2014,20385,1.8,155000 km
Santa FE,HYUNDAI,2015,39559,2,129254 km
Civic,HONDA,2019,124989,2,5492 km
Santa FE,HYUNDAI,2011,19601,2,58548 km
Insight,HONDA,2012,10000,1.5,102000 km
Transit,FORD,1999,13328,2.5,395000 km
Camry,TOYOTA,2013,392,2.5,232032 km
Camry,TOYOTA,2008,16621,2.4,145567 km
Expedition,FORD,2000,15681,4.6,0 km
Elantra,HYUNDAI,2011,19679,1.6,133783 km
Accord,HONDA,2017,9879,2.4,39762 km
Elantra,HYUNDAI,2015,27654,1.6,104674 km
E 350,MERCEDES-BENZ,2010,32929,3.5,165000 km
Aqua,TOYOTA,2014,17663,1.5,53800 km
Santa FE,HYUNDAI,2015,52959,2,99106 km
Sonata HYBRID,HYUNDAI,2011,18189,2.4,88400 km
XV,SUBARU,2015,706,2,111285 km
GX 470,LEXUS,2008,862,4.7,280354 km
Insight,HONDA,2011,14740,1.3,136000 km
Juke,NISSAN,2015,5018,1.6,111402 km
Tucson,HYUNDAI,2012,27924,2,105437 km
Camry,TOYOTA,2014,5488,2.5,109798 km
ML 320,MERCEDES-BENZ,2009,28225,3.0 Turbo,245470 km
Cr-v,HONDA,2005,16621,2.4,120000 km
Prius,TOYOTA,2008,10400,1.5,288000 km
TERRAIN,GMC,2012,1960,2.4,212682 km
Tucson,HYUNDAI,2014,24283,2,189000 km
Camry,TOYOTA,2013,3920,2.5,308694 km
Spark,CHEVROLET,2015,9364,1,53711 km
Compass,JEEP,2010,23110,2.4,121000 km
Transit,FORD,1991,4391,2.5,0 km
Camry,TOYOTA,2013,314,2.5,225510 km
Note,NISSAN,2012,9722,1.2,69000 km
MPV,MAZDA,2004,5645,2.3,16000 km
Santa FE,HYUNDAI,2014,36068,2,151000 km
